App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver
"Secrets of beauty, youth and health",BEAUTY,NaN,77,2.9M,"10,000+",Free,0,Mature 17+,Beauty,2.3 and up
The Vietnam Story - Fun Stories,COMICS,4.5,438,3.4M,"10,000+",Free,0,Everyone,Comics,2.3 and up
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6M,"10,000+",Free,0,Everyone,Art & Design,2.3 and up
Latest 2018 Home Designs,HOUSE_AND_HOME,NaN,174,8.7M,"10,000+",Free,0,Everyone,House & Home,2.3 and up
Farm Heroes Saga,GAME,4.4,7614130,70M,"100,000,000+",Free,0,Everyone,Casual,2.3 and up
Farm Heroes Saga,GAME,4.4,7614271,70M,"100,000,000+",Free,0,Everyone,Casual,2.3 and up
Common Core,EDUCATION,4,835,15M,"100,000+",Free,0,Everyone,Education,2.3 and up
chicken song,LIBRARIES_AND_DEMO,4.3,434,16M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
I will return his eggs,LIBRARIES_AND_DEMO,NaN,91,18M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Cold Spirits,LIBRARIES_AND_DEMO,NaN,363,2.5M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
MOMOLAND BBoom BBoom,LIBRARIES_AND_DEMO,4.6,2580,20M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Blackpink as if it's your last,LIBRARIES_AND_DEMO,4.7,831,24M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6M,"100,000+",Free,0,Everyone,Health & Fitness,2.3 and up
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37M,"100,000+",Free,0,Everyone,Art & Design,2.3 and up
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",Free,0,Everyone,Auto & Vehicles,2.3 and up
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2M,"100,000+",Free,0,Everyone,Art & Design,2.3 and up
US Stock Market,FINANCE,4.4,1922,4.2M,"100,000+",Free,0,Everyone,Finance,2.3 and up
SUDOKU,LIBRARIES_AND_DEMO,4.1,923,4.3M,"100,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Easy Hair Style Design,LIFESTYLE,4.3,601,5.1M,"100,000+",Free,0,Everyone,Lifestyle,2.3 and up
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9M,"100,000+",Free,0,Everyone,Art & Design,2.3 and up
Caf - My Account,LIFESTYLE,3.9,18961,1.8M,"5,000,000+",Free,0,Everyone,Lifestyle,2.3 and up
ABC Preschool Free,EDUCATION,3.8,27572,25M,"5,000,000+",Free,0,Everyone,Education;Education,2.3 and up
Live 4D Results ! (MY & SG),LIFESTYLE,4.6,116079,3.2M,"5,000,000+",Free,0,Everyone,Lifestyle,2.3 and up
AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5.9M,"5,000,000+",Free,0,Everyone,Books & Reference,2.3 and up
Block Puzzle,GAME,4.6,59800,7.8M,"5,000,000+",Free,0,Everyone,Puzzle,2.3 and up
Block Puzzle,GAME,4.6,59854,7.8M,"5,000,000+",Free,0,Everyone,Puzzle,2.3 and up
Sad hair without net,LIBRARIES_AND_DEMO,NaN,20,2.1M,"5,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
C++ Tutorials,EDUCATION,4.1,358,1.9M,"50,000+",Free,0,Everyone,Education,2.3 and up
Easy and Fast Recipes,FOOD_AND_DRINK,NaN,95,12M,"50,000+",Free,0,Everyone,Food & Drink,2.3 and up
Next Gen Science Standards,EDUCATION,4.3,206,18M,"50,000+",Free,0,Everyone,Education,2.3 and up
Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2.5M,"50,000+",Free,0,Everyone,Auto & Vehicles,2.3 and up
Mama Lala 's song,LIBRARIES_AND_DEMO,NaN,102,21M,"50,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2M,"50,000+",Free,0,Everyone,Art & Design,2.3 and up
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6M,"50,000+",Free,0,Everyone,Art & Design,2.3 and up
Pronunciation and know the name of the caller from his number,LIFESTYLE,4.6,2167,1.4M,"500,000+",Free,0,Everyone,Lifestyle,2.3 and up
Ayyush wih wih new without Net,LIBRARIES_AND_DEMO,3.8,912,13M,"500,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Girls Nancy Ajram Without Net,LIBRARIES_AND_DEMO,4.7,2639,19M,"500,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Young Speeches,LIBRARIES_AND_DEMO,NaN,2221,2.4M,"500,000+",Free,0,Everyone,Libraries & Demo,2.3 and up
Learn English for beginners,EDUCATION,4.5,1929,2.5M,"500,000+",Free,0,Everyone,Education,2.3 and up
Study Checker,EDUCATION,4.2,3816,2.6M,"500,000+",Free,0,Everyone,Education,2.3 and up
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,3.0M,"500,000+",Free,0,Everyone,Lifestyle,2.3 and up
Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6.7M,"500,000+",Free,0,Everyone,Books & Reference,2.3 and up
Vonage Mobile® Call Video Text,COMMUNICATION,4.1,29208,23M,"1,000,000+",Free,0,Everyone,Communication,2.3.3 and up
LOL Pics (Funny Pictures),ENTERTAINMENT,4.4,67554,7.7M,"1,000,000+",Free,0,Teen,Entertainment,2.3.3 and up
Lamp detector,LIBRARIES_AND_DEMO,NaN,5,1.8M,"1,000+",Free,0,Everyone,Libraries & Demo,2.3.3 and up
GMAT Question Bank,EDUCATION,4.2,240,29M,"10,000+",Free,0,Everyone,Education,2.3.3 and up
50 Healthy Slow Cooker Recipes,FOOD_AND_DRINK,4,196,9.0M,"10,000+",Free,0,Everyone 10+,Food & Drink,2.3.3 and up
vide-greniers.org,EVENTS,4.3,5839,3.5M,"100,000+",Free,0,Everyone,Events,2.3.3 and up
My Chakra Meditation 2,HEALTH_AND_FITNESS,4.3,1288,31M,"100,000+",Free,0,Everyone,Health & Fitness,2.3.3 and up
Free Meditation - Take a Break,HEALTH_AND_FITNESS,4.2,1608,39M,"100,000+",Free,0,Everyone,Health & Fitness,2.3.3 and up
"play2prep: ACT, SAT prep",EDUCATION,4.2,3692,4.4M,"100,000+",Free,0,Everyone,Education,2.3.3 and up
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9M,"5,000,000+",Free,0,Everyone,Puzzle,2.3.3 and up
H TV,ENTERTAINMENT,4.3,103078,5.6M,"5,000,000+",Free,0,Everyone,Entertainment,2.3.3 and up
Telstra,LIFESTYLE,3,4260,6.3M,"5,000,000+",Free,0,Everyone,Lifestyle,2.3.3 and up
Birthdays & Other Events,EVENTS,4.3,456,2.8M,"50,000+",Free,0,Everyone,Events,2.3.3 and up
FREE Stock Market Trading Tips,FINANCE,3.9,714,3.6M,"50,000+",Free,0,Everyone,Finance,2.3.3 and up
10 Best Foods for You,HEALTH_AND_FITNESS,4,2490,3.8M,"500,000+",Free,0,Everyone 10+,Health & Fitness,2.3.3 and up
10 Best Foods for You,HEALTH_AND_FITNESS,4,2490,3.8M,"500,000+",Free,0,Everyone 10+,Health & Fitness,2.3.3 and up
My Chakra Meditation,HEALTH_AND_FITNESS,4.4,7586,45M,"500,000+",Free,0,Everyone,Health & Fitness,2.3.3 and up
Recipes for hair and face tried,HEALTH_AND_FITNESS,4.5,1203,6.5M,"500,000+",Free,0,Everyone,Health & Fitness,2.3.3 and up
eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23M,"1,000,000+",Free,0,Everyone,Books & Reference,3.0 and up
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33M,"1,000,000+",Free,0,Everyone,Art & Design,3.0 and up
Wall Decorating Ideas,HOUSE_AND_HOME,3.9,6631,5.5M,"1,000,000+",Free,0,Everyone,House & Home,3.0 and up
Living Room Decorating Ideas,HOUSE_AND_HOME,4,4465,5.8M,"1,000,000+",Free,0,Everyone,House & Home,3.0 and up
Room Painting Ideas,HOUSE_AND_HOME,4,4450,7.6M,"1,000,000+",Free,0,Everyone,House & Home,3.0 and up
Moot Peru 2018,EVENTS,NaN,13,27M,"1,000+",Free,0,Everyone,Events,3.0 and up
Word Search,GAME,4.7,295241,3.9M,"10,000,000+",Free,0,Everyone,Word,3.0 and up
Word Search,GAME,4.7,295305,3.9M,"10,000,000+",Free,0,Everyone,Word,3.0 and up
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897,39M,"10,000,000+",Free,0,Everyone,Business,3.0 and up
Tiny Scanner - PDF Scanner App,BUSINESS,4.7,286897,39M,"10,000,000+",Free,0,Everyone,Business,3.0 and up
Recipes and tips for losing weight,BEAUTY,NaN,35,3.1M,"10,000+",Free,0,Everyone 10+,Beauty,3.0 and up
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0M,"10,000+",Free,0,Everyone,Art & Design,3.0 and up
"Lady adviser (beauty, health)",BEAUTY,NaN,30,9.9M,"10,000+",Free,0,Mature 17+,Beauty,3.0 and up
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",Paid,$4.99,Everyone,Business,3.0 and up
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",Paid,$4.99,Everyone,Business,3.0 and up
Wrinkles and rejuvenation,BEAUTY,NaN,182,5.7M,"100,000+",Free,0,Everyone 10+,Beauty,3.0 and up
Apartment Decorating Ideas,HOUSE_AND_HOME,3.9,1478,5.7M,"100,000+",Free,0,Everyone,House & Home,3.0 and up
Video chat live advices,DATING,NaN,0,8.0M,100+,Free,0,Everyone,Dating,3.0 and up
Bubble Witch 3 Saga,GAME,4.7,1732263,78M,"50,000,000+",Free,0,Everyone,Puzzle,3.0 and up
eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21M,"50,000+",Free,0,Everyone,Books & Reference,3.0 and up
Kitchen Island Ideas,HOUSE_AND_HOME,4,515,5.8M,"50,000+",Free,0,Everyone,House & Home,3.0 and up
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3M,"500,000+",Free,0,Everyone,Books & Reference,3.0 and up
Web Browser,COMMUNICATION,4.2,10965,2.3M,"500,000+",Free,0,Everyone,Communication,3.0 and up
Innovative: Learn 34 Languages,EDUCATION,4.5,14206,21M,"500,000+",Free,0,Everyone,Education,3.0 and up
Bathroom Decorating Ideas,HOUSE_AND_HOME,4.1,2427,5.3M,"500,000+",Free,0,Everyone,House & Home,3.0 and up
Aunjai i lert u,HEALTH_AND_FITNESS,4.2,1140,5.5M,"500,000+",Free,0,Teen,Health & Fitness,3.0 and up
Bedroom Decorating Ideas,HOUSE_AND_HOME,4,2382,5.9M,"500,000+",Free,0,Everyone,House & Home,3.0 and up
Lerni. Learn languages.,EDUCATION,4,3847,6.9M,"500,000+",Free,0,Everyone,Education,3.0 and up
Chat Click - Dating Search,DATING,NaN,4,3.8M,500+,Free,0,Mature 17+,Dating,3.0 and up
Socrative Teacher,EDUCATION,3.9,1239,1.8M,"100,000+",Free,0,Everyone,Education,3.2 and up
Barcode Scanner,LIBRARIES_AND_DEMO,4.2,3945,9.4M,"500,000+",Free,0,Everyone,Libraries & Demo,3.2 and up
Post Bank,FINANCE,4.5,60449,100M,"1,000,000+",Free,0,Everyone,Finance,4.0 and up
English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10M,"1,000,000+",Free,0,Everyone,Books & Reference,4.0 and up
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,4.0 and up
AdWords Express,BUSINESS,4.1,7149,11M,"1,000,000+",Free,0,Everyone,Business,4.0 and up
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12M,"1,000,000+",Free,0,Everyone,Art & Design,4.0 and up
The green alien dance,ENTERTAINMENT,3.8,6979,12M,"1,000,000+",Free,0,Everyone,Entertainment,4.0 and up
PHONE for Google Voice & GTalk,COMMUNICATION,4.3,72065,13M,"1,000,000+",Free,0,Everyone,Communication,4.0 and up
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Zenith Bank Mobile App,FINANCE,4.3,7215,18M,"1,000,000+",Free,0,Everyone,Finance,4.0 and up
Super Jim Jump - pixel 3d,GAME,4.5,10393,18M,"1,000,000+",Free,0,Everyone,Arcade,4.0 and up
Super Jim Jump - pixel 3d,GAME,4.5,10434,18M,"1,000,000+",Free,0,Everyone,Arcade,4.0 and up
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6M,"1,000,000+",Free,0,Everyone,Beauty,4.0 and up
Official Matsumoto Kiyoshi application,LIFESTYLE,3.2,3031,2.7M,"1,000,000+",Free,0,Everyone,Lifestyle,4.0 and up
Rainbow Camera,BEAUTY,3.7,3871,23M,"1,000,000+",Free,0,Everyone,Beauty,4.0 and up
Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",Free,0,Everyone,Beauty,4.0 and up
"104 Looking for a job - looking for a job, looking for a job, looking for a part-time job, health checkup, resume, treatment room",BUSINESS,4.4,74359,25M,"1,000,000+",Free,0,Everyone,Business,4.0 and up
ClickMeeting Webinars,BUSINESS,3.8,5211,26M,"1,000,000+",Free,0,Everyone,Business,4.0 and up
English for beginners,EDUCATION,4.6,9321,27M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Expense IQ Money Manager,FINANCE,4.4,21570,27M,"1,000,000+",Free,0,Everyone,Finance,4.0 and up
Wifi Test,LIBRARIES_AND_DEMO,4,8671,3.1M,"1,000,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
Learn Spanish - Español,EDUCATION,4.7,32346,3.2M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Girly Wallpapers Backgrounds,LIFESTYLE,4.4,13565,3.3M,"1,000,000+",Free,0,Everyone,Lifestyle,4.0 and up
Funny Quotes Free,ENTERTAINMENT,4.2,23666,3.6M,"1,000,000+",Free,0,Teen,Entertainment,4.0 and up
Safest Call Blocker,COMMUNICATION,4.4,27540,3.7M,"1,000,000+",Free,0,Everyone,Communication,4.0 and up
Branch,FINANCE,4.6,69973,3.8M,"1,000,000+",Free,0,Everyone,Finance,4.0 and up
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9M,"1,000,000+",Free,0,Everyone 10+,Auto & Vehicles,4.0 and up
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,"1,000,000+",Free,0,Everyone,Communication,4.0 and up
New Ringtones 2018,LIBRARIES_AND_DEMO,4.1,3781,36M,"1,000,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
Meditate OM,HEALTH_AND_FITNESS,4.5,19074,4.2M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Web Browser for Android,COMMUNICATION,4.1,55098,4.3M,"1,000,000+",Free,0,Everyone,Communication,4.0 and up
Cars Coloring Pages,EDUCATION,4.4,1090,49M,"1,000,000+",Free,0,Everyone,Education;Creativity,4.0 and up
HomeWork,EDUCATION,4.3,16195,5.2M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Learn C++,EDUCATION,4.6,73404,5.3M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Learn SQL,EDUCATION,4.7,19277,5.3M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Book store,BOOKS_AND_REFERENCE,4.4,22486,5.4M,"1,000,000+",Free,0,Teen,Books & Reference,4.0 and up
Learn JavaScript,EDUCATION,4.6,25183,5.4M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Learn Java,EDUCATION,4.7,52743,5.4M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Learn HTML,EDUCATION,4.7,61749,5.4M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
Memes Button,COMICS,4.4,5968,5.7M,"1,000,000+",Free,0,Everyone,Comics,4.0 and up
Job Korea - Career Jobs,BUSINESS,4.3,10600,6.5M,"1,000,000+",Free,0,Everyone,Business,4.0 and up
Learn to Speak English,EDUCATION,4.4,33646,7.0M,"1,000,000+",Free,0,Everyone,Education,4.0 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",Free,0,Everyone,Dating,4.0 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2M,"1,000,000+",Free,0,Everyone,Dating,4.0 and up
Monefy - Money Manager,FINANCE,4.6,111254,7.4M,"1,000,000+",Free,0,Everyone,Finance,4.0 and up
Prana Breath: Calm & Meditate,HEALTH_AND_FITNESS,4.8,31665,8.4M,"1,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Should I Answer?,COMMUNICATION,4.8,237468,8.8M,"1,000,000+",Free,0,Everyone,Communication,4.0 and up
"Meet, chat & date. Free dating app - Chocolate app",DATING,3.9,8661,9.5M,"1,000,000+",Free,0,Mature 17+,Dating,4.0 and up
chat saudi arabia,DATING,4.1,11,11M,"1,000+",Free,0,Mature 17+,Dating,4.0 and up
FindLoving,DATING,3.8,24,19M,"1,000+",Free,0,Mature 17+,Dating,4.0 and up
chat live chat,DATING,NaN,24,3.9M,"1,000+",Free,0,Mature 17+,Dating,4.0 and up
Mummatikabalkuragi,EVENTS,4.9,69,334k,"1,000+",Free,0,Teen,Events,4.0 and up
Random Video Chat App With Strangers,DATING,NaN,3,4.8M,"1,000+",Free,0,Mature 17+,Dating,4.0 and up
Random Video Chat App With Strangers,DATING,NaN,3,4.8M,"1,000+",Free,0,Mature 17+,Dating,4.0 and up
Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,$6.99,Everyone,Dating,4.0 and up
Call Recorder,LIBRARIES_AND_DEMO,4.7,48,6.9M,"1,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
Talking Babsy Baby: Baby Games,LIFESTYLE,4,140995,100M,"10,000,000+",Free,0,Everyone,Lifestyle;Pretend Play,4.0 and up
Lose Weight in 30 Days,HEALTH_AND_FITNESS,4.8,220125,11M,"10,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Rate Guide Bill Letter,LIFESTYLE,3.8,17368,14M,"10,000,000+",Free,0,Everyone,Lifestyle,4.0 and up
OK cashbag [point of pleasure],LIFESTYLE,3.7,33264,18M,"10,000,000+",Free,0,Everyone,Lifestyle,4.0 and up
Pedometer,HEALTH_AND_FITNESS,4.4,400592,2.9M,"10,000,000+",Free,0,Everyone,Health & Fitness,4.0 and up
Learn English with Wlingua,EDUCATION,4.7,314299,3.3M,"10,000,000+",Free,0,Everyone,Education,4.0 and up
Learn English with Wlingua,EDUCATION,4.7,314300,3.3M,"10,000,000+",Free,0,Everyone,Education,4.0 and up
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37M,"10,000,000+",Free,0,Everyone,Business,4.0 and up
ZOOM Cloud Meetings,BUSINESS,4.4,31614,37M,"10,000,000+",Free,0,Everyone,Business,4.0 and up
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7M,"10,000,000+",Free,0,Everyone,Communication,4.0 and up
Geometry Dash World,GAME,4.6,760628,63M,"10,000,000+",Free,0,Everyone,Arcade,4.0 and up
Math Tricks,EDUCATION,4.5,342918,8.1M,"10,000,000+",Free,0,Everyone,Education,4.0 and up
Ruler,HOUSE_AND_HOME,4.7,126,1.9M,"10,000+",Free,0,Everyone,House & Home,4.0 and up
General culture,LIBRARIES_AND_DEMO,NaN,26,10M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
How to sew & make the easiest pattern,LIBRARIES_AND_DEMO,NaN,110,10M,"10,000+",Free,0,Everyone,Libraries & Demo,4.0 and up
VAN NIAN 2018 - Vietnamese Calendar,EVENTS,NaN,37,16M,"10,000+",Free,0,Everyone,Events,4.0 and up
Quiz&Learn Python,EDUCATION,4,304,2.0M,"10,000+",Free,0,Everyone,Education,4.0 and up
Manga - read Thai translation,COMICS,4.6,302,2.2M,"10,000+",Free,0,Teen,Comics,4.0 and up
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",Free,0,Everyone,Events,4.0 and up
Brit + Co,LIFESTYLE,3.9,987,4.5M,"10,000+",Free,0,Everyone,Lifestyle,4.0 and up
Colors of white in Urdu,BEAUTY,4.5,36,6.7M,"10,000+",Free,0,Everyone,Beauty,4.0 and up
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1M,"10,000+",Free,0,Everyone,Beauty,4.0 and up
imo beta free calls and text,COMMUNICATION,4.3,659395,11M,"100,000,000+",Free,0,Everyone,Communication,4.0 and up
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,"100,000,000+",Free,0,Everyone,Communication,4.0 and up
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648120,3.3M,"100,000,000+",Free,0,Teen,Communication,4.0 and up
UC Browser Mini -Tiny Fast Private & Secure,COMMUNICATION,4.4,3648480,3.3M,"100,000,000+",Free,0,Teen,Communication,4.0 and up
Extreme Car Driving Simulator,GAME,4.3,2251012,52M,"100,000,000+",Free,0,Everyone,Racing,4.0 and up
Homework Planner,EDUCATION,4,2525,1.2M,"100,000+",Free,0,Everyone,Education,4.0 and up
FarmersOnly Dating,DATING,3,1146,1.4M,"100,000+",Free,0,Mature 17+,Dating,4.0 and up
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11M,"100,000+",Free,0,Everyone,Art & Design,4.0 and up
Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15M,"100,000+",Free,0,Teen,Books & Reference,4.0 and up
591 Housing Trading - Hong Kong,HOUSE_AND_HOME,4.3,3522,15M,"100,000+",Free,0,Everyone,House & Home,4.0 and up
"乐屋网: Buying a house, selling a house, renting a house",HOUSE_AND_HOME,3.7,2248,15M,"100,000+",Free,0,Everyone,House & Home,4.0 and up
