,Category,Rating,Reviews,Content Rating,Size in bytes,Numeric_install
144,FINANCE,4.3,7215,Everyone,18874368.0,1000000
145,GAME,4.5,10393,Everyone,18874368.0,1000000
147,BEAUTY,4.1,9315,Everyone,2726297.6,1000000
148,LIFESTYLE,3.2,3031,Everyone,2831155.2,1000000
149,BEAUTY,3.7,3871,Everyone,24117248.0,1000000
150,BEAUTY,4.3,8572,Everyone,26214400.0,1000000
151,BUSINESS,4.4,74359,Everyone,26214400.0,1000000
152,BUSINESS,3.8,5211,Everyone,27262976.0,1000000
153,EDUCATION,4.6,9321,Everyone,28311552.0,1000000
154,FINANCE,4.4,21570,Everyone,28311552.0,1000000
155,LIBRARIES_AND_DEMO,4.0,8671,Everyone,3250585.6,1000000
156,EDUCATION,4.7,32346,Everyone,3355443.2,1000000
157,LIFESTYLE,4.4,13565,Everyone,3460300.8,1000000
158,ENTERTAINMENT,4.2,23666,Teen,3774873.6,1000000
159,COMMUNICATION,4.4,27540,Everyone,3879731.2,1000000
160,FINANCE,4.6,69973,Everyone,3984588.8,1000000
161,AUTO_AND_VEHICLES,4.3,3574,Everyone 10+,4089446.4,1000000
162,COMMUNICATION,4.2,15880,Everyone,33554432.0,1000000
163,LIBRARIES_AND_DEMO,4.1,3781,Everyone,37748736.0,1000000
164,HEALTH_AND_FITNESS,4.5,19074,Everyone,4404019.2,1000000
165,COMMUNICATION,4.1,55098,Everyone,4508876.8,1000000
166,EDUCATION,4.4,1090,Everyone,51380224.0,1000000
167,EDUCATION,4.3,16195,Everyone,5452595.2,1000000
168,EDUCATION,4.6,73404,Everyone,5557452.8,1000000
169,EDUCATION,4.7,19277,Everyone,5557452.8,1000000
170,BOOKS_AND_REFERENCE,4.4,22486,Teen,5662310.4,1000000
171,EDUCATION,4.6,25183,Everyone,5662310.4,1000000
172,EDUCATION,4.7,52743,Everyone,5662310.4,1000000
173,EDUCATION,4.7,61749,Everyone,5662310.4,1000000
174,COMICS,4.4,5968,Everyone,5976883.2,1000000
175,BUSINESS,4.3,10600,Everyone,6815744.0,1000000
176,EDUCATION,4.4,33646,Everyone,7340032.0,1000000
177,DATING,4.4,35206,Everyone,7549747.2,1000000
179,FINANCE,4.6,111254,Everyone,7759462.4,1000000
180,HEALTH_AND_FITNESS,4.8,31665,Everyone,8808038.4,1000000
181,COMMUNICATION,4.8,237468,Everyone,9227468.8,1000000
182,DATING,3.9,8661,Mature 17+,9961472.0,1000000
183,DATING,4.1,11,Mature 17+,11534336.0,1000
184,DATING,3.8,24,Mature 17+,19922944.0,1000
186,EVENTS,4.9,69,Teen,342016.0,1000
189,DATING,2.6,57,Everyone,6501171.2,1000
190,LIBRARIES_AND_DEMO,4.7,48,Everyone,7235174.4,1000
191,LIFESTYLE,4.0,140995,Everyone,104857600.0,10000000
192,HEALTH_AND_FITNESS,4.8,220125,Everyone,11534336.0,10000000
193,LIFESTYLE,3.8,17368,Everyone,14680064.0,10000000
194,LIFESTYLE,3.7,33264,Everyone,18874368.0,10000000
195,HEALTH_AND_FITNESS,4.4,400592,Everyone,3040870.4,10000000
196,EDUCATION,4.7,314299,Everyone,3460300.8,10000000
198,BUSINESS,4.4,31614,Everyone,38797312.0,10000000
200,COMMUNICATION,4.3,1133501,Everyone,4928307.2,10000000
201,GAME,4.6,760628,Everyone,66060288.0,10000000
202,EDUCATION,4.5,342918,Everyone,8493465.6,10000000
203,HOUSE_AND_HOME,4.7,126,Everyone,1992294.4,10000
207,EDUCATION,4.0,304,Everyone,2097152.0,10000
208,COMICS,4.6,302,Teen,2306867.2,10000
209,EVENTS,4.2,811,Everyone,2936012.8,10000
210,LIFESTYLE,3.9,987,Everyone,4718592.0,10000
211,BEAUTY,4.5,36,Everyone,7025459.2,10000
212,BEAUTY,4.6,38,Everyone,7444889.6,10000
213,COMMUNICATION,4.3,659395,Everyone,11534336.0,100000000
214,COMMUNICATION,4.4,2876500,Everyone,25165824.0,100000000
215,COMMUNICATION,4.4,3648120,Teen,3460300.8,100000000
217,GAME,4.3,2251012,Everyone,54525952.0,100000000
218,EDUCATION,4.0,2525,Everyone,1258291.2,100000
219,DATING,3.0,1146,Mature 17+,1468006.4,100000
220,ART_AND_DESIGN,4.5,5035,Everyone,11534336.0,100000
221,BOOKS_AND_REFERENCE,4.6,7831,Teen,15728640.0,100000
222,HOUSE_AND_HOME,4.3,3522,Everyone,15728640.0,100000
223,HOUSE_AND_HOME,3.7,2248,Everyone,15728640.0,100000
224,EDUCATION,4.7,2544,Everyone,18874368.0,100000
225,AUTO_AND_VEHICLES,4.6,2431,Everyone,2516582.4,100000
226,BOOKS_AND_REFERENCE,4.5,527,Everyone,3040870.4,100000
227,FOOD_AND_DRINK,4.6,556,Teen,24117248.0,100000
229,LIFESTYLE,3.9,2042,Everyone,3145728.0,100000
231,COMICS,4.6,279,Everyone,3460300.8,100000
232,AUTO_AND_VEHICLES,4.9,10479,Everyone,34603008.0,100000
233,BEAUTY,4.3,601,Everyone,36700160.0,100000
234,HEALTH_AND_FITNESS,4.2,1324,Everyone,4194304.0,100000
236,EVENTS,4.4,4298,Everyone,4613734.4,100000
237,AUTO_AND_VEHICLES,4.0,1288,Everyone,4718592.0,100000
238,LIFESTYLE,4.0,5208,Teen,4718592.0,100000
239,EDUCATION,4.1,2363,Everyone,6920601.6,100000
240,BUSINESS,4.7,11442,Everyone,7130316.8,100000
242,EDUCATION,3.5,1405,Everyone,7654604.8,100000
243,HOUSE_AND_HOME,4.2,809,Everyone,8178892.8,100000
244,BOOKS_AND_REFERENCE,4.6,4478,Everyone 10+,9961472.0,100000
246,DATING,3.5,2,Mature 17+,17825792.0,100
249,BUSINESS,4.5,207372,Everyone,11534336.0,5000000
250,COMMUNICATION,4.2,83239,Everyone,14680064.0,5000000
252,EDUCATION,4.4,55256,Everyone,14680064.0,5000000
254,COMMUNICATION,4.3,41420,Everyone,19922944.0,5000000
255,DATING,4.2,63986,Mature 17+,20971520.0,5000000
256,DATING,4.4,172460,Mature 17+,3250585.6,5000000
257,BUSINESS,4.6,188841,Everyone,3355443.2,5000000
258,HEALTH_AND_FITNESS,4.4,70769,Everyone,36700160.0,5000000
261,BOOKS_AND_REFERENCE,4.1,85842,Everyone,38797312.0,5000000
262,EDUCATION,4.5,9770,Everyone,40894464.0,5000000
263,HEALTH_AND_FITNESS,4.5,126017,Everyone,4508876.8,5000000
264,LIFESTYLE,4.3,34327,Everyone,8493465.6,5000000
265,LIFESTYLE,4.6,51357,Everyone,83886080.0,5000000
266,FINANCE,4.1,31804,Everyone,10276044.8,5000000
267,BEAUTY,3.8,9,Everyone,3565158.4,5000
268,COMICS,4.2,21,Everyone,7025459.2,5000
270,GAME,4.5,1135631,Teen,61865984.0,50000000
273,COMMUNICATION,4.6,2264916,Everyone,6396313.6,50000000
274,GAME,4.3,1300490,Everyone,81788928.0,50000000
275,EVENTS,4.6,731,Everyone,11534336.0,50000
276,FOOD_AND_DRINK,4.1,1268,Everyone,2411724.8,50000
277,EDUCATION,4.0,316,Everyone,30408704.0,50000
278,AUTO_AND_VEHICLES,4.6,197,Everyone,3565158.4,50000
279,LIBRARIES_AND_DEMO,4.5,929,Everyone,7340032.0,50000
280,FOOD_AND_DRINK,4.1,278,Everyone,7549747.2,50000
283,COMMUNICATION,4.3,4785892,Everyone,11534336.0,500000000
286,GAME,4.3,10485308,Everyone,25165824.0,500000000
288,COMMUNICATION,4.5,17712922,Teen,41943040.0,500000000
290,GAME,4.3,8118609,Everyone,65011712.0,500000000
293,EDUCATION,4.6,10611,Everyone,11534336.0,500000
294,LIFESTYLE,4.1,3309,Everyone,13631488.0,500000
295,AUTO_AND_VEHICLES,4.0,1754,Everyone,14680064.0,500000
296,FOOD_AND_DRINK,4.7,3803,Everyone,15728640.0,500000
297,AUTO_AND_VEHICLES,4.8,7021,Everyone,17825792.0,500000
298,COMMUNICATION,4.1,12578,Everyone,2411724.8,500000
299,BOOKS_AND_REFERENCE,4.6,1435,Everyone,2936012.8,500000
300,BEAUTY,4.4,2280,Everyone,25165824.0,500000
301,HEALTH_AND_FITNESS,4.3,7895,Everyone,3460300.8,500000
303,FINANCE,4.1,4344,Everyone,4718592.0,500000
304,EDUCATION,4.4,390,Everyone,42991616.0,500000
305,DATING,4.2,2506,Mature 17+,6396313.6,500000
306,LIFESTYLE,4.5,10097,Everyone,7864320.0,500000
307,HOUSE_AND_HOME,4.3,4435,Everyone,8283750.4,500000
309,HOUSE_AND_HOME,3.7,2758,Everyone,9017753.6,500000
310,FINANCE,4.6,11066,Everyone,9542041.6,500000
311,ART_AND_DESIGN,4.0,591,Everyone,9856614.4,500000
313,COMMUNICATION,4.3,192948,Everyone,6920601.6,10000000
314,COMMUNICATION,4.0,36901,Everyone,6920601.6,5000000
315,LIFESTYLE,4.3,9412,Everyone,1782579.2,1000000
317,DATING,4.1,6701,Mature 17+,11534336.0,1000000
318,FOOD_AND_DRINK,3.8,22513,Everyone,11534336.0,1000000
319,DATING,3.6,11806,Mature 17+,12582912.0,1000000
320,HOUSE_AND_HOME,3.9,10117,Everyone,13631488.0,1000000
321,FINANCE,4.2,21996,Everyone,14680064.0,1000000
322,GAME,4.4,9305,Everyone,14680064.0,1000000
323,FINANCE,4.6,161440,Everyone,16777216.0,1000000
324,AUTO_AND_VEHICLES,4.6,31433,Everyone,17825792.0,1000000
325,COMMUNICATION,4.2,15287,Everyone,17825792.0,1000000
326,FOOD_AND_DRINK,4.2,8509,Everyone,17825792.0,1000000
327,FOOD_AND_DRINK,4.6,4925,Everyone,17825792.0,1000000
328,AUTO_AND_VEHICLES,4.6,5097,Everyone,19922944.0,1000000
329,BOOKS_AND_REFERENCE,4.4,30105,Everyone,2202009.6,1000000
330,COMMUNICATION,4.1,13100,Everyone,2306867.2,1000000
331,COMICS,4.1,12088,Mature 17+,22020096.0,1000000
332,EDUCATION,4.3,47847,Everyone,22020096.0,1000000
333,HOUSE_AND_HOME,4.1,24977,Everyone,22020096.0,1000000
334,EDUCATION,4.2,6736,Mature 17+,23068672.0,1000000
335,LIFESTYLE,4.4,13213,Everyone,23068672.0,1000000
336,LIFESTYLE,4.8,28588,Everyone,25165824.0,1000000
337,FOOD_AND_DRINK,4.0,43614,Everyone,26214400.0,1000000
338,FINANCE,3.6,15247,Everyone,29360128.0,1000000
339,HEALTH_AND_FITNESS,4.8,51227,Everyone,29360128.0,1000000
340,HEALTH_AND_FITNESS,4.6,48226,Everyone,29360128.0,1000000
342,AUTO_AND_VEHICLES,3.7,4806,Everyone,36700160.0,1000000
343,ENTERTAINMENT,4.7,11661,Everyone,4194304.0,1000000
344,ENTERTAINMENT,4.3,64448,Mature 17+,4613734.4,1000000
345,ENTERTAINMENT,4.0,11656,Everyone,4718592.0,1000000
346,HEALTH_AND_FITNESS,4.3,26652,Everyone,42991616.0,1000000
347,HEALTH_AND_FITNESS,4.4,26540,Everyone,45088768.0,1000000
349,HEALTH_AND_FITNESS,4.6,71269,Everyone,51380224.0,1000000
350,BOOKS_AND_REFERENCE,4.8,116507,Teen,5242880.0,1000000
351,DATING,4.2,22544,Mature 17+,6186598.4,1000000
353,FINANCE,4.1,70782,Everyone,52428800.0,1000000
354,LIFESTYLE,3.2,16168,Everyone,57671680.0,1000000
355,HEALTH_AND_FITNESS,4.1,18539,Everyone,59768832.0,1000000
357,DATING,4.2,40035,Mature 17+,6815744.0,1000000
359,DATING,4.0,51698,Mature 17+,66060288.0,1000000
360,FINANCE,4.5,19870,Everyone,7759462.4,1000000
361,EDUCATION,4.8,256079,Teen,7969177.6,1000000
362,DATING,4.1,97684,Mature 17+,8283750.4,1000000
363,DATING,4.2,57081,Mature 17+,8283750.4,1000000
366,HOUSE_AND_HOME,3.4,3280,Everyone,80740352.0,1000000
367,COMMUNICATION,4.3,37320,Everyone,8808038.4,1000000
368,BUSINESS,3.9,16589,Everyone,9542041.6,1000000
369,HOUSE_AND_HOME,4.3,10054,Everyone,9542041.6,1000000
370,ENTERTAINMENT,4.4,17682,Everyone,10171187.2,1000000
371,DATING,3.5,35,Mature 17+,16777216.0,1000
375,COMICS,5.0,15,Everyone,38797312.0,1000
376,DATING,5.0,5,Mature 17+,4613734.4,1000
377,DATING,4.8,84,Mature 17+,4718592.0,1000
379,DATING,4.2,24,Mature 17+,5138022.4,1000
380,EDUCATION,4.9,11,Everyone,66060288.0,1000
382,COMMUNICATION,4.2,190613,Everyone,11534336.0,10000000
383,LIFESTYLE,4.6,161143,Everyone 10+,11534336.0,10000000
384,HOUSE_AND_HOME,4.5,162243,Everyone,12582912.0,10000000
386,LIFESTYLE,4.4,95557,Everyone,16777216.0,10000000
387,GAME,4.4,74673,Everyone,17825792.0,10000000
388,EDUCATION,4.1,200058,Everyone,18874368.0,10000000
389,FOOD_AND_DRINK,4.7,611136,Everyone,19922944.0,10000000
390,GAME,4.3,42053,Everyone,25165824.0,10000000
391,COMMUNICATION,4.4,136662,Everyone,33554432.0,10000000
392,COMMUNICATION,3.9,40751,Teen,36700160.0,10000000
393,COMMUNICATION,4.4,615381,Mature 17+,38797312.0,10000000
394,GAME,3.8,270687,Teen,39845888.0,10000000
395,GAME,4.5,148897,Everyone,48234496.0,10000000
397,GAME,4.5,461137,Everyone,62914560.0,10000000
398,FOOD_AND_DRINK,3.4,109784,Everyone,67108864.0,10000000
399,GAME,4.4,257724,Everyone 10+,72351744.0,10000000
400,FINANCE,4.2,278082,Everyone,73400320.0,10000000
401,GAME,4.5,655067,Teen,75497472.0,10000000
402,ENTERTAINMENT,4.3,256664,Everyone,80740352.0,10000000
403,COMMUNICATION,4.0,122498,Everyone,80896.0,10000000
404,COMMUNICATION,4.5,349384,Everyone,8598323.2,10000000
405,ART_AND_DESIGN,4.7,158,Everyone,11534336.0,10000
406,BEAUTY,4.8,104,Everyone,12582912.0,10000
407,LIBRARIES_AND_DEMO,4.6,130,Everyone,12582912.0,10000
408,ART_AND_DESIGN,4.2,117,Everyone,15728640.0,10000
409,LIBRARIES_AND_DEMO,4.4,58,Everyone,15728640.0,10000
410,DATING,3.3,149,Mature 17+,16777216.0,10000
411,BEAUTY,4.5,134,Everyone,17825792.0,10000
412,ART_AND_DESIGN,4.1,159,Everyone,19922944.0,10000
414,BEAUTY,4.2,30,Everyone,3040870.4,10000
415,BEAUTY,4.4,74,Everyone,3040870.4,10000
416,BEAUTY,4.1,66,Everyone,3040870.4,10000
417,ART_AND_DESIGN,4.7,121,Everyone,3250585.6,10000
418,BEAUTY,4.2,62,Everyone,3250585.6,10000
420,DATING,4.7,791,Mature 17+,3879731.2,10000
421,DATING,4.7,478,Mature 17+,4718592.0,10000
422,DATING,4.7,158,Mature 17+,4718592.0,10000
423,COMICS,4.5,144,Everyone,4928307.2,10000
424,DATING,4.8,110,Mature 17+,5138022.4,10000
426,DATING,4.6,185,Mature 17+,5242880.0,10000
428,DATING,2.8,80,Teen,5767168.0,10000
431,AUTO_AND_VEHICLES,4.6,534,Everyone,5976883.2,10000
433,COMICS,4.7,3596,Teen,8178892.8,10000
434,COMICS,4.7,73,Everyone,8703180.8,10000
435,DATING,4.1,236,Mature 17+,9227468.8,10000
441,DATING,1.0,1,Mature 17+,9646899.2,10
442,GAME,4.5,14198297,Everyone,54525952.0,100000000
445,GAME,4.5,5465624,Teen,55574528.0,100000000
446,GAME,4.5,3197865,Everyone,85983232.0,100000000
447,AUTO_AND_VEHICLES,3.2,250,Everyone,1153433.6,100000
448,ART_AND_DESIGN,4.5,176,Everyone,10485760.0,100000
449,COMICS,3.9,2181,Teen,10485760.0,100000
450,FOOD_AND_DRINK,4.6,1398,Everyone 10+,10485760.0,100000
451,ART_AND_DESIGN,4.1,654,Everyone,12582912.0,100000
452,BOOKS_AND_REFERENCE,4.2,860,Everyone,13631488.0,100000
453,HOUSE_AND_HOME,4.5,7619,Everyone,13631488.0,100000
454,LIFESTYLE,4.2,3448,Everyone,13631488.0,100000
455,LIFESTYLE,4.4,3114,Everyone,13631488.0,100000
456,BEAUTY,4.6,4369,Everyone,14680064.0,100000
457,LIFESTYLE,4.5,3346,Teen,14680064.0,100000
458,HOUSE_AND_HOME,3.8,491,Everyone,15728640.0,100000
459,LIFESTYLE,4.7,2225,Everyone,15728640.0,100000
460,EDUCATION,4.2,3241,Everyone,16777216.0,100000
461,FOOD_AND_DRINK,4.5,454,Everyone,16777216.0,100000
462,FOOD_AND_DRINK,4.0,1077,Everyone,17825792.0,100000
463,EDUCATION,4.3,423,Everyone,22020096.0,100000
464,LIBRARIES_AND_DEMO,4.5,1703,Everyone,23068672.0,100000
465,AUTO_AND_VEHICLES,4.2,367,Everyone,26214400.0,100000
466,DATING,3.8,5164,Mature 17+,26214400.0,100000
469,HOUSE_AND_HOME,4.0,4281,Everyone,28311552.0,100000
470,BUSINESS,4.6,822,Everyone,3250585.6,100000
471,BOOKS_AND_REFERENCE,4.4,1322,Everyone,3670016.0,100000
473,BOOKS_AND_REFERENCE,3.4,1680,Everyone,4194304.0,100000
474,DATING,4.1,2212,Mature 17+,42991616.0,100000
476,AUTO_AND_VEHICLES,4.3,138,Everyone,5662310.4,100000
477,ART_AND_DESIGN,4.1,203,Everyone,6396313.6,100000
478,BEAUTY,4.0,364,Everyone,6710886.4,100000
479,LIBRARIES_AND_DEMO,4.3,1465,Everyone,7340032.0,100000
480,COMICS,3.2,1446,Mature 17+,7444889.6,100000
481,BUSINESS,4.7,4162,Everyone,7864320.0,100000
482,FOOD_AND_DRINK,4.7,2707,Everyone,9332326.4,100000
483,ART_AND_DESIGN,4.2,1120,Everyone,9646899.2,100000
484,EVENTS,4.0,3782,Everyone,9961472.0,100000
485,LIBRARIES_AND_DEMO,4.5,399,Everyone,9961472.0,100000
487,DATING,3.0,2,Mature 17+,16777216.0,100
489,DATING,4.7,6,Mature 17+,5138022.4,100
491,DATING,5.0,6,Mature 17+,5242880.0,100
493,DATING,5.0,5,Mature 17+,5242880.0,100
494,DATING,4.3,6,Mature 17+,9437184.0,100
495,GAME,4.5,531458,Everyone,104857600.0,5000000
496,COMMUNICATION,4.2,104990,Everyone,10485760.0,5000000
497,FINANCE,4.0,48445,Everyone,10485760.0,5000000
498,BUSINESS,4.0,8941,Everyone,12582912.0,5000000
499,COMICS,3.2,93965,Teen,15728640.0,5000000
500,HEALTH_AND_FITNESS,4.5,121838,Everyone,15728640.0,5000000
501,ENTERTAINMENT,4.6,50725,Everyone,19922944.0,5000000
502,BUSINESS,4.3,29313,Everyone,20971520.0,5000000
504,COMMUNICATION,4.2,33053,Everyone,23068672.0,5000000
505,GAME,4.3,18985,Everyone,24117248.0,5000000
506,COMMUNICATION,4.6,191032,Everyone,27262976.0,5000000
507,HEALTH_AND_FITNESS,4.5,60096,Teen,28311552.0,5000000
508,LIFESTYLE,4.4,39364,Everyone,29360128.0,5000000
509,AUTO_AND_VEHICLES,4.8,116986,Everyone,36700160.0,5000000
510,ART_AND_DESIGN,4.3,194216,Everyone,40894464.0,5000000
511,COMMUNICATION,4.2,88427,Everyone,5347737.6,5000000
512,ENTERTAINMENT,4.2,10291,Teen,6815744.0,5000000
513,AUTO_AND_VEHICLES,4.2,52530,Everyone,7340032.0,5000000
514,HOUSE_AND_HOME,4.1,65913,Everyone,8074035.2,5000000
515,HEALTH_AND_FITNESS,4.6,109756,Everyone,81788928.0,5000000
516,ART_AND_DESIGN,4.7,87510,Everyone,9122611.2,5000000
518,BEAUTY,4.3,18,Everyone,3355443.2,5000
519,COMICS,3.3,125,Teen,4928307.2,5000
520,DATING,4.8,125,Mature 17+,4928307.2,5000
522,DATING,4.9,776,Mature 17+,5138022.4,5000
525,GAME,4.5,946926,Everyone,59768832.0,50000000
527,BUSINESS,4.1,308,Everyone,14680064.0,50000
528,ART_AND_DESIGN,3.8,178,Everyone,19922944.0,50000
